11区	(11 qū)
刑事犯	(xíng shì fàn)
刑事犯罪	(xíng shì fàn zuì)
刑事警察	(xíng shì jǐng chá)
刑事警察局	(xíng shì jǐng chá jú)
刑事拘留	(xíng shì jū liú)
刑事局	(xíng shì jú)
刑事审判庭	(xíng shì shěn pàn tíng)
刑事诉讼法	(xíng shì sù sòng fǎ)
刑诉法	(xíng sù fǎ)
刑堂	(xíng táng)
刑天	(xíng tiān)
刑庭	(xíng tíng)
刑网	(xíng wǎng)
刑讯	(xíng xùn)
刑杖	(xíng zhàng)
刑侦	(xíng zhēn)
形	(xíng)
形变	(xíng biàn)
形参	(xíng cān)
形成	(xíng chéng)
形成层	(xíng chéng céng)
形单影只	(xíng dān yǐng zhī)
形而上学	(xíng ér shàng xué)
形符	(xíng fú)
形骸	(xíng hái)
形核	(xíng hé)
形婚	(xíng hūn)
形迹	(xíng jì)
形貌	(xíng mào)
形旁	(xíng páng)
形容	(xíng róng)
形容词	(xíng róng cí)
形容词短语	(xíng róng cí duǎn yǔ)
形容辞	(xíng róng cí)
形色	(xíng sè)
形上	(xíng shàng)
形神	(xíng shén)
形声	(xíng shēng)
形声字	(xíng shēng zì)
形胜	(xíng shèng)
形式	(xíng shì)
形式发票	(xíng shì fā piào)
形式化	(xíng shì huà)
形式主义	(xíng shì zhǔ yì)
形似	(xíng sì)
形势	(xíng shì)
形势严峻	(xíng shì yán jùn)
形态	(xíng tài)
形态发生素	(xíng tài fā shēng sù)
形态学	(xíng tài xué)
形体	(xíng tǐ)
形同	(xíng tóng)
形同陌路	(xíng tóng mò lù)
形同虚设	(xíng tóng xū shè)
形象	(xíng xiàng)
形象大使	(xíng xiàng dà shǐ)
形象代言人	(xíng xiàng dài yán rén)
形象艺术	(xíng xiàng yì shù)
形像	(xíng xiàng)
形形色色	(xíng xíng sè sè)
形译	(xíng yì)
形意拳	(xíng yì quán)
形影不离	(xíng yǐng bù lí)
形影相吊	(xíng yǐng xiāng diào)
形影相随	(xíng yǐng xiāng suí)
形于色	(xíng yú sè)
形制	(xíng zhì)
形质	(xíng zhì)
形状	(xíng zhuàng)
侀	(xíng)
型	(xíng)
型板	(xíng bǎn)
型别	(xíng bié)
型材	(xíng cái)
型号	(xíng hào)
型录	(xíng lù)
型男	(xíng nán)
型式	(xíng shì)
型态	(xíng tài)
擤	(xǐng)
擤鼻涕	(xǐng bí tì)
杏	(xìng)
杏鲍菇	(xìng bào gū)
杏花村	(xìng huā cūn)
杏花岭区	(xìng huā lǐng qū)
杏林	(xìng lín)
杏林区	(xìng lín qū)
杏仁	(xìng rén)
杏仁豆腐	(xìng rén dòu fu)
杏仁果	(xìng rén guǒ)
杏仁核	(xìng rén hé)
杏仁体	(xìng rén tǐ)
杏树	(xìng shù)
杏眼	(xìng yǎn)
杏子	(xìng zi)
幸	(xìng)
幸存	(xìng cún)
幸存者	(xìng cún zhě)
幸而	(xìng ér)
幸福	(xìng fú)
幸福学	(xìng fú xué)
幸好	(xìng hǎo)
幸会	(xìng huì)
幸进	(xìng jìn)
幸亏	(xìng kuī)
幸免	(xìng miǎn)
幸甚	(xìng shèn)
幸甚至哉	(xìng shèn zhì zāi)
幸事	(xìng shì)
幸喜	(xìng xǐ)
幸运	(xìng yùn)
幸运饼干	(xìng yùn bǐng gān)
幸运抽奖	(xìng yùn chōu jiǎng)
幸运儿	(xìng yùn ér)
幸运曲奇	(xìng yùn qū qí)
幸运信	(xìng yùn xìn)
幸灾乐祸	(xìng zāi lè huò)
性	(xìng)
性爱	(xìng ài)
性暗示	(xìng àn shì)
性伴	(xìng bàn)
性伴侣	(xìng bàn lǚ)
性变态	(xìng biàn tài)
性别	(xìng bié)
性别比	(xìng bié bǐ)
性别角色	(xìng bié jué sè)
性别歧视	(xìng bié qí shì)
性别认同障碍	(xìng bié rèn tóng zhàng ài)
性病	(xìng bìng)
性产业	(xìng chǎn yè)
性成熟	(xìng chéng shú)
性冲动	(xìng chōng dòng)
性传播	(xìng chuán bō)
性地	(xìng dì)
性短讯	(xìng duǎn xùn)
性恶论	(xìng è lùn)
性服务	(xìng fú wù)
性服务产业	(xìng fú wù chǎn yè)
性福	(xìng fú)
性感	(xìng gǎn)
性高潮	(xìng gāo cháo)
性格	(xìng gé)
性格不合	(xìng gé bù hé)
性工作	(xìng gōng zuò)
性工作者	(xìng gōng zuò zhě)
性媾	(xìng gòu)
性关系	(xìng guān xi)
性幻想	(xìng huàn xiǎng)
性贿赂	(xìng huì lù)
性伙伴	(xìng huǒ bàn)
性激素	(xìng jī sù)
性急	(xìng jí)
性疾病	(xìng jí bìng)
性价比	(xìng jià bǐ)
性健康	(xìng jiàn kāng)
性交	(xìng jiāo)
性交高潮	(xìng jiāo gāo cháo)
性交易	(xìng jiāo yì)
性教育	(xìng jiào yù)
性接触	(xìng jiē chù)
性禁忌	(xìng jìn jì)
性快感	(xìng kuài gǎn)
性乐	(xìng lè)
性蕾期	(xìng lěi qī)
性冷淡	(xìng lěng dàn)
性冷感	(xìng lěng gǎn)
性满足	(xìng mǎn zú)
性命	(xìng mìng)
性命攸关	(xìng mìng yōu guān)
性能	(xìng néng)
性虐待	(xìng nüè dài)
性癖	(xìng pǐ)
性偏好	(xìng piān hào)
性器	(xìng qì)
性器官	(xìng qì guān)
性器期	(xìng qì qī)
性侵	(xìng qīn)
性侵犯	(xìng qīn fàn)
性侵害	(xìng qīn hài)
性情	(xìng qíng)
性取向	(xìng qǔ xiàng)
性骚扰	(xìng sāo rǎo)
性善	(xìng shàn)
性生活	(xìng shēng huó)
性事	(xìng shì)
性同一性障碍	(xìng tóng yī xìng zhàng ài)
性玩物	(xìng wán wù)
性物恋	(xìng wù liàn)
性细胞	(xìng xì bāo)
性腺	(xìng xiàn)
性向	(xìng xiàng)
性行	(xìng xíng)
性行为	(xìng xíng wéi)
性学	(xìng xué)
性瘾	(xìng yǐn)
性欲	(xìng yù)
性欲高潮	(xìng yù gāo cháo)
性张力	(xìng zhāng lì)
性征	(xìng zhēng)
性指向	(xìng zhǐ xiàng)
性质	(xìng zhì)
性质命题	(xìng zhì mìng tí)
性转	(xìng zhuǎn)
性状	(xìng zhuàng)
性子	(xìng zi)
姓	(xìng)
姓蒋还是姓汪	(xìng jiǎng hái shi xìng wāng)
姓名	(xìng míng)
姓氏	(xìng shì)
悻	(xìng)
悻然	(xìng rán)
悻悻	(xìng xìng)
婞	(xìng)
塂	(jiǎng)
凶	(xiōng)
凶巴巴	(xiōng bā bā)
凶暴	(xiōng bào)
凶残	(xiōng cán)
凶党	(xiōng dǎng)
凶刀	(xiōng dāo)
凶多吉少	(xiōng duō jí shǎo)
凶恶	(xiōng è)
凶犯	(xiōng fàn)
凶服	(xiōng fú)
凶光	(xiōng guāng)
凶悍	(xiōng hàn)
凶狠	(xiōng hěn)
凶荒	(xiōng huāng)
凶狂	(xiōng kuáng)
凶戾	(xiōng lì)
凶猛	(xiōng měng)
凶年	(xiōng nián)
凶器	(xiōng qì)
凶丧	(xiōng sāng)
凶杀	(xiōng shā)
凶杀案	(xiōng shā àn)
凶煞	(xiōng shà)
凶身	(xiōng shēn)
凶神	(xiōng shén)
凶神恶煞	(xiōng shén è shà)
凶事	(xiōng shì)
凶手	(xiōng shǒu)
凶死	(xiōng sǐ)
凶顽	(xiōng wán)
凶嫌	(xiōng xián)
凶险	(xiōng xiǎn)
凶相	(xiōng xiàng)
凶相毕露	(xiōng xiàng bì lù)
凶信	(xiōng xìn)
凶讯	(xiōng xùn)
凶焰	(xiōng yàn)
凶宅	(xiōng zhái)
凶兆	(xiōng zhào)
兄	(xiōng)
兄弟	(xiōng dì)
兄弟会	(xiōng dì huì)
兄弟姐妹	(xiōng dì jiě mèi)
兄弟阋墙	(xiōng dì xì qiáng)
兄弟阋于墙，外御其侮	(xiōng dì xì yú qiáng , wài yù qí wǔ)
兄妹	(xiōng mèi)
兄嫂	(xiōng sǎo)
兄台	(xiōng tái)
兄长	(xiōng zhǎng)
匈	(xiōng)
匈奴	(xiōng nú)
匈牙利	(xiōng yá lì)
匈牙利语	(xiōng yá lì yǔ)
匈语	(xiōng yǔ)
㐫	(xiōng)
恟	(xiōng)
敻	(xiòng)
休	(xiū)
休班	(xiū bān)
休兵	(xiū bīng)
休达	(xiū dá)
休耕	(xiū gēng)
休怪	(xiū guài)
休会	(xiū huì)
休假	(xiū jià)
休克	(xiū kè)
休伦湖	(xiū lún hú)
休旅车	(xiū lǚ chē)
休眠	(xiū mián)
休眠火山	(xiū mián huǒ shān)
休谟	(xiū mó)
休沐	(xiū mù)
休宁县	(xiū níng xiàn)
休妻	(xiū qī)
休戚相关	(xiū qī xiāng guān)
休憩	(xiū qì)
休士顿	(xiū shì dùn)
休氏树莺	(xiū shì shù yīng)
休氏旋木雀	(xiū shì xuán mù què)
休市	(xiū shì)
休斯敦	(xiū sī dūn)
休斯顿	(xiū sī dùn)
休庭	(xiū tíng)
休息	(xiū xi)
休息室	(xiū xī shì)
休闲	(xiū xián)
休闲裤	(xiū xián kù)
休闲鞋	(xiū xián xié)
休想	(xiū xiǎng)
休学	(xiū xué)
休养	(xiū yǎng)
休养生息	(xiū yǎng shēng xī)
休伊特	(xiū yī tè)
休战	(xiū zhàn)
休整	(xiū zhěng)
休止	(xiū zhǐ)
休止符	(xiū zhǐ fú)
咻	(xiū)
修	(xiū)
修编	(xiū biān)
修补	(xiū bǔ)
修补匠	(xiū bǔ jiàng)
修车	(xiū chē)
修成正果	(xiū chéng zhèng guǒ)
修辞	(xiū cí)
修辞格	(xiū cí gé)
修辞学	(xiū cí xué)
修道	(xiū dào)
修道会	(xiū dào huì)
修道士	(xiū dào shì)
修道院	(xiū dào yuàn)
修订	(xiū dìng)
修订版	(xiū dìng bǎn)
修订本	(xiū dìng běn)
修订历史	(xiū dìng lì shǐ)
修读	(xiū dú)
修法	(xiū fǎ)
修复	(xiū fù)
修改	(xiū gǎi)
修改稿	(xiū gǎi gǎo)
修规	(xiū guī)
修好	(xiū hǎo)
修会	(xiū huì)
修剪	(xiū jiǎn)
修建	(xiū jiàn)
修脚	(xiū jiǎo)
修脚师	(xiū jiǎo shī)
修课	(xiū kè)
修理	(xiū lǐ)
修理厂	(xiū lǐ chǎng)
修例	(xiū lì)
修练	(xiū liàn)
修炼	(xiū liàn)
修炼成仙	(xiū liàn chéng xiān)
修路	(xiū lù)
修罗	(xiū luó)
修罗场	(xiū luó chǎng)
修面	(xiū miàn)
修睦	(xiū mù)
修女	(xiū nǚ)
修齐	(xiū qí)
修葺	(xiū qì)
修缮	(xiū shàn)
修身	(xiū shēn)
修士	(xiū shì)
修饰	(xiū shì)
修饰话	(xiū shì huà)
修饰语	(xiū shì yǔ)
修手	(xiū shǒu)
修水利	(xiū shuǐ lì)
修水县	(xiū shuǐ xiàn)
修图	(xiū tú)
修文县	(xiū wén xiàn)
修武县	(xiū wǔ xiàn)
修昔底德	(xiū xī dǐ dé)
修昔底德陷阱	(xiū xī dǐ dé xiàn jǐng)
修习	(xiū xí)
修禊	(xiū xì)
修宪	(xiū xiàn)
修鞋匠	(xiū xié jiàng)
修心养性	(xiū xīn yǎng xìng)
修行	(xiū xíng)
修行人	(xiū xíng rén)
修养	(xiū yǎng)
修业	(xiū yè)
修音	(xiū yīn)
修院	(xiū yuàn)
修造	(xiū zào)
修造厂	(xiū zào chǎng)
修长	(xiū cháng)
修真	(xiū zhēn)
修整	(xiū zhěng)
修正	(xiū zhèng)
修正案	(xiū zhèng àn)
修正液	(xiū zhèng yè)
修正主义	(xiū zhèng zhǔ yì)
修指甲	(xiū zhǐ jia)
修筑	(xiū zhù)
修撰	(xiū zhuàn)
修阻	(xiū zǔ)
庥	(xiū)
朽	(xiǔ)
朽蠹	(xiǔ dù)
朽坏	(xiǔ huài)
朽烂	(xiǔ làn)
朽木	(xiǔ mù)
朽木不可雕	(xiǔ mù bù kě diāo)
岫	(xiù)
岫岩满族自治县	(xiù yán mǎn zú zì zhì xiàn)
峀	(xiù)
嗅	(xiù)
嗅觉	(xiù jué)
嗅球	(xiù qiú)
嗅探	(xiù tàn)
嗅探犬	(xiù tàn quǎn)
嗅盐	(xiù yán)
戌	(qu)
吁	(yù)
吁吁	(xū xū)
旴	(xū)
姁	(xǔ)
欨	(xū)
媭	(xū)
墟	(xū)
墟里	(xū lǐ)
嘘	(xū)
嘘寒问暖	(xū hán wèn nuǎn)
嘘声	(xū shēng)
嘘嘘	(xū xū)
歔	(xū)
歘	(xū)
徐	(xú)
徐悲鸿	(xú bēi hóng)
徐步	(xú bù)
徐福	(xú fú)
徐光启	(xú guāng qǐ)
徐缓	(xú huǎn)
徐汇区	(xú huì qū)
徐继畬	(xú jì yú)
徐家汇	(xú jiā huì)
徐俊	(xú jùn)
徐克	(xú kè)
徐匡迪	(xú kuāng dí)
徐娘半老	(xú niáng bàn lǎo)
徐水区	(xú shuǐ qū)
徐渭	(xú wèi)
徐闻县	(xú wén xiàn)
徐熙媛	(xú xī yuán)
徐霞客	(xú xiá kè)
徐霞客游记	(xú xiá kè yóu jì)
徐星	(xú xīng)
徐行	(xú xíng)
徐徐	(xú xú)
徐铉	(xú xuàn)
徐祯卿	(xú zhēn qīng)
徐志摩	(xú zhì mó)
徐州市	(xú zhōu shì)
呴	(xū)
栩	(xǔ)
栩栩	(xǔ xǔ)
栩栩如生	(xǔ xǔ rú shēng)
栩栩生辉	(xǔ xǔ shēng huī)
冔	(xǔ)
旭	(xù)
旭日	(xù rì)
序	(xù)
序跋	(xù bá)
序次	(xù cì)
序号	(xù hào)
序列	(xù liè)
序列号	(xù liè hào)
序幕	(xù mù)
序曲	(xù qǔ)
序数	(xù shù)
序文	(xù wén)
序言	(xù yán)
序章	(xù zhāng)
侐	(xù)
昫	(xù)
叙	(xù)
叙旧	(xù jiù)
叙拉古	(xù lā gǔ)
叙利亚	(xù lì yà)
叙利亚文	(xù lì yà wén)
叙明	(xù míng)
叙事	(xù shì)
叙事诗	(xù shì shī)
叙事线	(xù shì xiàn)
叙述	(xù shù)
叙述性	(xù shù xìng)
叙谈	(xù tán)
叙文	(xù wén)
叙言	(xù yán)
叙永县	(xù yǒng xiàn)
叙州区	(xù zhōu qū)
恤	(xù)
恤匮	(xù kuì)
恤嫠	(xù lí)
恤衫	(xù shān)
垿	(xù)
殈	(xù)
勖	(xù)
勗	(xù)
喣	(xǔ)
婿	(xù)
慉	(xù)
吅	(sòng)
咺	(xuǎn)
宣	(xuān)
宣布	(xuān bù)
宣布破产	(xuān bù pò chǎn)
宣称	(xuān chēng)
宣城市	(xuān chéng shì)
宣传	(xuān chuán)
宣传部	(xuān chuán bù)
宣传册	(xuān chuán cè)
宣传攻势	(xuān chuán gōng shì)
宣传画	(xuān chuán huà)
宣导	(xuān dǎo)
宣道	(xuān dào)
宣读	(xuān dú)
宣恩县	(xuān ēn xiàn)
宣发	(xuān fā)
宣告	(xuān gào)
宣汉县	(xuān hàn xiàn)
宣化区	(xuān huà qū)
宣讲	(xuān jiǎng)
宣教	(xuān jiào)
宣介	(xuān jiè)
宣礼塔	(xuān lǐ tǎ)
宣明	(xuān míng)
宣判	(xuān pàn)
宣认	(xuān rèn)
宣示	(xuān shì)
宣誓	(xuān shì)
宣誓供词证明	(xuān shì gòng cí zhèng míng)
宣誓就职	(xuān shì jiù zhí)
宣誓书	(xuān shì shū)
宣誓证言	(xuān shì zhèng yán)
宣统	(xuān tǒng)
宣威市	(xuān wēi shì)
宣武门	(xuān wǔ mén)
宣泄	(xuān xiè)
宣言	(xuān yán)
宣扬	(xuān yáng)
宣战	(xuān zhàn)
宣纸	(xuān zhǐ)
宣州区	(xuān zhōu qū)
揎	(xuān)
喧	(xuān)
喧宾夺主	(xuān bīn duó zhǔ)
喧哗	(xuān huá)
喧哗与骚动	(xuān huá yǔ sāo dòng)
喧闹	(xuān nào)
喧扰	(xuān rǎo)
喧腾	(xuān téng)
喧嚣	(xuān xiāo)
愃	(xuān)
暄	(xuān)
暄腾	(xuān teng)
儇	(xuān)
嬛	(xuān)
悬	(xuán)
悬案	(xuán àn)
悬臂	(xuán bì)
悬揣	(xuán chuǎi)
悬垂	(xuán chuí)
悬带	(xuán dài)
悬荡	(xuán dàng)
悬而未决	(xuán ér wèi jué)
悬浮	(xuán fú)
悬浮窗	(xuán fú chuāng)
悬浮微粒	(xuán fú wēi lì)
悬浮物	(xuán fú wù)
悬挂	(xuán guà)
悬挂式滑翔	(xuán guà shì huá xiáng)
悬挂式滑翔机	(xuán guà shì huá xiáng jī)
悬河	(xuán hé)
悬壶	(xuán hú)
悬壶济世	(xuán hú jì shì)
悬空	(xuán kōng)
悬空寺	(xuán kōng sì)
悬梁刺股	(xuán liáng cì gǔ)
悬念	(xuán niàn)
悬赏	(xuán shǎng)
悬赏令	(xuán shǎng lìng)
悬殊	(xuán shū)
悬索桥	(xuán suǒ qiáo)
悬停	(xuán tíng)
悬崖	(xuán yá)
悬崖勒马	(xuán yá lè mǎ)
悬崖峭壁	(xuán yá qiào bì)
悬岩	(xuán yán)
悬疑	(xuán yí)
悬雍垂	(xuán yōng chuí)
旋	(xuán)
旋臂	(xuán bì)
旋风	(xuàn fēng)
旋风脚	(xuàn fēng jiǎo)
旋覆花	(xuán fù huā)
旋光	(xuán guāng)
旋花科	(xuán huā kē)
旋回	(xuán huí)
旋即	(xuán jí)
旋里	(xuán lǐ)
旋量	(xuán liàng)
旋流	(xuán liú)
旋律	(xuán lǜ)
旋木雀	(xuán mù què)
旋钮	(xuán niǔ)
旋前肌	(xuán qián jī)
旋乾转坤	(xuán qián zhuǎn kūn)
旋绕	(xuán rào)
旋梯	(xuán tī)
旋筒风帆	(xuán tǒng fēng fān)
旋涡	(xuán wō)
旋涡星系	(xuán wō xīng xì)
旋涡星云	(xuán wō xīng yún)
旋涡状	(xuán wō zhuàng)
旋舞	(xuán wǔ)
旋翼	(xuán yì)
旋渊	(xuán yuān)
旋闸	(xuán zhá)
旋踵	(xuán zhǒng)
旋转	(xuán zhuǎn)
旋转对称	(xuán zhuǎn duì chèn)
旋转极	(xuán zhuǎn jí)
旋转角	(xuán zhuǎn jiǎo)
旋转角速度	(xuán zhuǎn jiǎo sù dù)
旋转烤肉	(xuán zhuǎn kǎo ròu)
旋转力	(xuán zhuǎn lì)
旋转门	(xuán zhuǎn mén)
旋转木马	(xuán zhuǎn mù mǎ)
旋转球	(xuán zhuǎn qiú)
旋转曲面	(xuán zhuǎn qū miàn)
旋转台	(xuán zhuǎn tái)
旋转运动	(xuán zhuǎn yùn dòng)
旋转指标	(xuán zhuǎn zhǐ biāo)
旋转轴	(xuán zhuǎn zhóu)
旋子	(xuàn zi)
嫙	(xuán)
暶	(xuán)
晅	(xuān)
昡	(xuàn)
楦	(xuàn)
楦头	(xuàn tou)
楦子	(xuàn zi)
削	(xiāo)
削波	(xuē bō)
削除	(xuē chú)
削发	(xuē fà)
削籍	(xuē jí)
削价	(xuē jià)
削尖	(xiāo jiān)
削减	(xuē jiǎn)
削铅笔	(xiāo qiān bǐ)
削铅笔机	(xiāo qiān bǐ jī)
削球	(xiāo qiú)
削弱	(xuē ruò)
削瘦	(xuē shòu)
削职	(xuē zhí)
削职为民	(xuē zhí wéi mín)
削足适履	(xuē zú shì lǚ)
斈	(xué)
乴	(xué)
峃	(xué)
学	(xué)
学霸	(xué bà)
学报	(xué bào)
学步	(xué bù)
学步车	(xué bù chē)
学测	(xué cè)
学潮	(xué cháo)
学到	(xué dào)
学弟	(xué dì)
学而不思则罔，思而不学则殆	(xué ér bù sī zé wǎng , sī ér bù xué zé dài)
学而不厌	(xué ér bù yàn)
学而不厌，诲人不倦	(xué ér bù yàn , huì rén bù juàn)
学而优则仕	(xué ér yōu zé shì)
学费	(xué fèi)
学分	(xué fēn)
学分小时	(xué fēn xiǎo shí)
学分制	(xué fēn zhì)
学风	(xué fēng)
学府	(xué fǔ)
学富五车	(xué fù wǔ chē)
学乖	(xué guāi)
学海	(xué hǎi)
学海泛舟	(xué hǎi fàn zhōu)
学海无涯	(xué hǎi wú yá)
学好	(xué hǎo)
学号	(xué hào)
学坏	(xué huài)
学会	(xué huì)
学会院士	(xué huì yuàn shì)
学级	(xué jí)
学籍	(xué jí)
学监	(xué jiān)
学姐	(xué jiě)
学界	(xué jiè)
学究	(xué jiū)
学科	(xué kē)
学理	(xué lǐ)
学力	(xué lì)
学历	(xué lì)
学龄	(xué líng)
学妹	(xué mèi)
学门	(xué mén)
学名	(xué míng)
学名药	(xué míng yào)
学摸	(xué mo)
学年	(xué nián)
学派	(xué pài)
学期	(xué qī)
学前班	(xué qián bān)
学前教育	(xué qián jiào yù)
学区	(xué qū)
学区房	(xué qū fáng)
学然后知不足	(xué rán hòu zhī bù zú)
学人	(xué rén)
学如逆水行舟，不进则退	(xué rú nì shuǐ xíng zhōu , bù jìn zé tuì)
学舍	(xué shè)
学生	(xué sheng)
学生t检验	(xué sheng t jiǎn yàn)
学生会	(xué sheng huì)
学生运动	(xué sheng yùn dòng)
学生证	(xué sheng zhèng)
学时	(xué shí)
学识	(xué shí)
学士	(xué shì)
学士学位	(xué shì xué wèi)
学术	(xué shù)
学术界	(xué shù jiè)
学术水平	(xué shù shuǐ píng)
学术自由	(xué shù zì yóu)
学说	(xué shuō)
学硕	(xué shuò)
学堂	(xué táng)
学童	(xué tóng)
学徒	(xué tú)
学位	(xué wèi)
学位论文	(xué wèi lùn wén)
学位证书	(xué wèi zhèng shū)
学问	(xué wèn)
学无止境	(xué wú zhǐ jìng)
学习	(xué xí)
学习时报	(xué xí shí bào)
学衔	(xué xián)
学校	(xué xiào)
学样	(xué yàng)
学业	(xué yè)
学业有成	(xué yè yǒu chéng)
学医	(xué yī)
学以致用	(xué yǐ zhì yòng)
学艺	(xué yì)
学友	(xué yǒu)
学园	(xué yuán)
学员	(xué yuán)
学院	(xué yuàn)
学院派	(xué yuàn pài)
学运	(xué yùn)
学渣	(xué zhā)
学长	(xué zhǎng)
学者	(xué zhě)
学制	(xué zhì)
学子	(xué zǐ)
噱	(jué)
噱头	(xué tóu)
勋	(xūn)
勋绩	(xūn jì)
勋爵	(xūn jué)
勋业	(xūn yè)
勋章	(xūn zhāng)
埙	(xūn)
壎	(xūn)
曛	(xūn)
旬	(xún)
旬课	(xún kè)
旬年	(xún nián)
旬期	(xún qī)
旬日	(xún rì)
旬时	(xún shí)
旬始	(xún shǐ)
旬首	(xún shǒu)
旬输月送	(xún shū yuè sòng)
旬朔	(xún shuò)
旬岁	(xún suì)
旬阳市	(xún yáng shì)
旬邑县	(xún yì xiàn)
寻	(xún)
寻宝	(xún bǎo)
寻常	(xún cháng)
寻仇	(xún chóu)
寻出	(xún chū)
寻的	(xún dì)
寻甸回族彝族自治县	(xún diàn huí zú yí zú zì zhì xiàn)
寻短见	(xún duǎn jiàn)
寻访	(xún fǎng)
寻根	(xún gēn)
寻根问底	(xún gēn wèn dǐ)
寻呼机	(xún hū jī)
寻花	(xún huā)
寻花问柳	(xún huā wèn liǔ)
寻欢	(xún huān)
寻欢作乐	(xún huān zuò lè)
寻回犬	(xún huí quǎn)
寻获	(xún huò)
寻机	(xún jī)
寻开心	(xún kāi xīn)
寻觅	(xún mì)
寻摸	(xún mo)
寻求	(xún qiú)
寻事生非	(xún shì shēng fēi)
寻水术	(xún shuǐ shù)
寻思	(xún sī)
寻死	(xún sǐ)
寻味	(xún wèi)
寻问	(xún wèn)
寻乌县	(xún wū xiàn)
寻衅	(xún xìn)
寻衅滋事罪	(xún xìn zī shì zuì)
寻找	(xún zhǎo)
寻址	(xún zhǐ)
寻租	(xún zū)
巡	(xún)
巡捕	(xún bǔ)
巡捕房	(xún bǔ fáng)
巡测仪	(xún cè yí)
巡查	(xún chá)
巡抚	(xún fǔ)
巡更	(xún gēng)
巡航	(xún háng)
巡航导弹	(xún háng dǎo dàn)
巡回	(xún huí)
巡回法庭	(xún huí fǎ tíng)
巡回演出	(xún huí yǎn chū)
巡警	(xún jǐng)
巡礼	(xún lǐ)
巡逻	(xún luó)
巡逻车	(xún luó chē)
巡逻船	(xún luó chuán)
巡逻队	(xún luó duì)
巡逻艇	(xún luó tǐng)
巡视	(xún shì)
巡行	(xún xíng)
巡演	(xún yǎn)
巡洋舰	(xún yáng jiàn)
巡弋	(xún yì)
巡游	(xún yóu)
㖊	(xún)
峋	(xún)
恂	(xún)
栒	(xún)
偱	(xún)
揗	(shǔn)
循	(xún)
循道宗	(xún dào zōng)
循分	(xún fèn)
循规蹈矩	(xún guī dǎo jǔ)
循化撒拉族自治县	(xún huà sā lā zú zì zhì xiàn)
循环	(xún huán)
循环节	(xún huán jié)
循环经济	(xún huán jīng jì)
循环论证	(xún huán lùn zhèng)
循环赛	(xún huán sài)
循环使用	(xún huán shǐ yòng)
循环系统	(xún huán xì tǒng)
循环小数	(xún huán xiǎo shù)
循环性	(xún huán xìng)
循序	(xún xù)
循序渐进	(xún xù jiàn jìn)
循循善诱	(xún xún shàn yòu)
循着	(xún zhe)
卂	(xùn)
侚	(xùn)
徇	(xùn)
徇情	(xùn qíng)
徇私枉法	(xùn sī wǎng fǎ)
徇私舞弊	(xùn sī wǔ bì)
㢲	(xùn)
殉	(xùn)
殉道	(xùn dào)
殉国	(xùn guó)
殉教	(xùn jiào)
殉节	(xùn jié)
殉难	(xùn nàn)
殉情	(xùn qíng)
殉死	(xùn sǐ)
殉葬	(xùn zàng)
殉职	(xùn zhí)
巽	(xùn)
巽他海峡	(xùn tā hǎi xiá)
巽他群岛	(xùn tā qún dǎo)
巽他语	(xùn tā yǔ)
噀	(xùn)
丫	(yā)
丫巴儿	(yā bā r)
丫杈	(yā chà)
丫环	(yā huan)
丫鬟	(yā huan)
丫髻	(yā jì)
丫角	(yā jiǎo)
丫挺	(yā tǐng)
丫头	(yā tou)
丫头片子	(yā tou piàn zi)
压	(yā)
压板	(yā bǎn)
压宝	(yā bǎo)
压扁	(yā biǎn)
压舱石	(yā cāng shí)
压场	(yā chǎng)
压车	(yā chē)
压倒	(yā dǎo)
压倒性	(yā dǎo xìng)
压低	(yā dī)
压电	(yā diàn)
压电体	(yā diàn tǐ)
压伏	(yā fú)
压服	(yā fú)
压根	(yà gēn)
压根儿	(yà gēn r)
压花	(yā huā)
压坏	(yā huài)
压挤	(yā jǐ)
压价	(yā jià)
压紧	(yā jǐn)
压克力	(yā kè lì)
压垮	(yā kuǎ)
压力	(yā lì)
压力锅	(yā lì guō)
压力计	(yā lì jì)
压力强度	(yā lì qiáng dù)
压力容器	(yā lì róng qì)
压力山大	(yā lì shān dà)
压路机	(yā lù jī)
压马路	(yà mǎ lù)
压埋	(yā mái)
压迫	(yā pò)
压强	(yā qiáng)
压舌板	(yā shé bǎn)
压实	(yā shí)
压死	(yā sǐ)
压死骆驼的最后一根稻草	(yā sǐ luò tuo de zuì hòu yī gēn dào cǎo)
压蒜器	(yā suàn qì)
压岁钱	(yā suì qián)
压碎	(yā suì)
压缩	(yā suō)
压缩包	(yā suō bāo)
压缩比	(yā suō bǐ)
压缩机	(yā suō jī)
压缩器	(yā suō qì)
压台戏	(yā tái xì)
压痛	(yā tòng)
压线	(yā xiàn)
压线钳	(yā xiàn qián)
压抑	(yā yì)
压韵	(yā yùn)
压榨	(yā zhà)
压阵	(yā zhèn)
压制	(yā zhì)
压轴戏	(yā zhòu xì)
压住	(yā zhù)
押	(yā)
押宝	(yā bǎo)
押车	(yā chē)
押后	(yā hòu)
押解	(yā jiè)
押金	(yā jīn)
押平声韵	(yā píng shēng yùn)
押沙龙	(yā shā lóng)
押送	(yā sòng)
押题	(yā tí)
押运	(yā yùn)
押运员	(yā yùn yuán)
押韵	(yā yùn)
押注	(yā zhù)
押租	(yā zū)
垭	(yā)
垭口	(yā kǒu)
桠	(yā)
