11區	(11 qū)
制導	(zhì dǎo)
制定	(zhì dìng)
制訂	(zhì dìng)
制動	(zhì dòng)
制動器	(zhì dòng qì)
制動踏板	(zhì dòng tà bǎn)
制度	(zhì dù)
制度化	(zhì dù huà)
制伏	(zhì fú)
制服	(zhì fú)
制服店	(zhì fú diàn)
制服呢	(zhì fú ní)
制高點	(zhì gāo diǎn)
制衡	(zhì héng)
制空權	(zhì kōng quán)
制錢	(zhì qián)
制勝	(zhì shèng)
制式	(zhì shì)
制式化	(zhì shì huà)
制酸劑	(zhì suān jì)
制藥業	(zhì yào yè)
制約	(zhì yuē)
制止	(zhì zhǐ)
柣	(zhí)
峙	(zhì)
庤	(zhì)
桎	(zhì)
桎梏	(zhì gù)
偫	(zhì)
乿	(luàn)
智	(zhì)
智齒	(zhì chǐ)
智多星	(zhì duō xīng)
智慧	(zhì huì)
智慧財產	(zhì huì cái chǎn)
智慧產權	(zhì huì chǎn quán)
智慧齒	(zhì huì chǐ)
智慧型手機	(zhì huì xíng shǒu jī)
智駕	(zhì jià)
智庫	(zhì kù)
智力	(zhì lì)
智力測驗	(zhì lì cè yàn)
智力低下	(zhì lì dī xià)
智力玩具	(zhì lì wán jù)
智利	(zhì lì)
智謀	(zhì móu)
智囊機構	(zhì náng jī gòu)
智囊團	(zhì náng tuán)
智能	(zhì néng)
智能卡	(zhì néng kǎ)
智能設計	(zhì néng shè jì)
智能手錶	(zhì néng shǒu biǎo)
智能手機	(zhì néng shǒu jī)
智能體	(zhì néng tǐ)
智能障礙	(zhì néng zhàng ài)
智取	(zhì qǔ)
智人	(zhì rén)
智商稅	(zhì shāng shuì)
智識	(zhì shí)
智熄	(zhì xī)
智性戀	(zhì xìng liàn)
智牙	(zhì yá)
智顗	(zhì yǐ)
智異山	(zhì yì shān)
智育	(zhì yù)
智障	(zhì zhàng)
智障人士	(zhì zhàng rén shì)
智者	(zhì zhě)
智者千慮，必有一失	(zhì zhě qiān lǜ , bì yǒu yī shī)
智珠在握	(zhì zhū zài wò)
彘	(zhì)
廌	(zhì)
寘	(zhì)
摯	(zhì)
摯愛	(zhì ài)
摯誠	(zhì chéng)
摯切	(zhì qiè)
摯情	(zhì qíng)
摯友	(zhì yǒu)
摯友良朋	(zhì yǒu liáng péng)
幟	(zhì)
擲	(zhì)
擲地有聲	(zhì dì yǒu shēng)
擲還	(zhì huán)
擲筊	(zhì jiǎo)
擲色	(zhì shǎi)
擲骰子	(zhì tóu zi)
櫛	(zhì)
櫛比	(zhì bǐ)
櫛風沐雨	(zhì fēng mù yǔ)
櫛瓜	(zhì guā)
櫛孔扇貝	(zhì kǒng shàn bèi)
櫛水母	(zhì shuǐ mǔ)
懥	(zhì)
懫	(zhí)
中	(zhōng)
中澳	(zhōng ào)
中巴	(zhōng bā)
中巴士	(zhōng bā shì)
中白鷺	(zhōng bái lù)
中班	(zhōng bān)
中板	(zhōng bǎn)
中辦	(zhōng bàn)
中幫	(zhōng bāng)
中保	(zhōng bǎo)
中飽	(zhōng bǎo)
中飽私囊	(zhōng bǎo sī náng)
中北部	(zhōng běi bù)
中北大學	(zhōng běi dà xué)
中焙	(zhōng bèi)
中杓鷸	(zhōng sháo yù)
中標	(zhòng biāo)
中波	(zhōng bō)
中部	(zhōng bù)
中財	(zhōng cái)
中彩	(zhòng cǎi)
中餐	(zhōng cān)
中餐館	(zhōng cān guǎn)
中草藥	(zhōng cǎo yào)
中層	(zhōng céng)
中產	(zhōng chǎn)
中產階級	(zhōng chǎn jiē jí)
中長跑	(zhōng cháng pǎo)
中常	(zhōng cháng)
中場	(zhōng chǎng)
中超	(zhōng chāo)
中朝	(zhōng cháo)
中成藥	(zhōng chéng yào)
中程	(zhōng chéng)
中川	(zhōng chuān)
中輟	(zhōng chuò)
中村	(zhōng cūn)
中大西洋脊	(zhōng dà xī yáng jǐ)
中彈	(zhòng dàn)
中檔	(zhōng dàng)
中島	(zhōng dǎo)
中的	(zhòng dì)
中等	(zhōng děng)
中等技術學校	(zhōng děng jì shù xué xiào)
中等教育	(zhōng děng jiào yù)
中等師範學校	(zhōng děng shī fàn xué xiào)
中等專業教育	(zhōng děng zhuān yè jiào yù)
中等專業學校	(zhōng děng zhuān yè xué xiào)
中低端	(zhōng dī duān)
中點	(zhōng diǎn)
中調	(zhōng diào)
中東	(zhōng dōng)
中東呼吸綜合徵	(zhōng dōng hū xī zōng hé zhēng)
中都	(zhōng dū)
中毒	(zhòng dú)
中毒性	(zhòng dú xìng)
中毒者	(zhòng dú zhě)
中端	(zhōng duān)
中短債	(zhōng duǎn zhài)
中段	(zhōng duàn)
中斷	(zhōng duàn)
中俄	(zhōng é)
中俄關係	(zhōng é guān xì)
中俄尼布楚條約	(zhōng é ní bù chǔ tiáo yuē)
中耳	(zhōng ěr)
中耳炎	(zhōng ěr yán)
中二病	(zhōng èr bìng)
中法	(zhōng fǎ)
中法戰爭	(zhōng fǎ zhàn zhēng)
中飯	(zhōng fàn)
中方	(zhōng fāng)
中方縣	(zhōng fāng xiàn)
中非	(zhōng fēi)
中非共和國	(zhōng fēi gòng hé guó)
中菲	(zhōng fēi)
中分	(zhōng fēn)
中風	(zhòng fēng)
中鋒	(zhōng fēng)
中縫	(zhōng fèng)
中伏	(zhòng fú)
中復電訊	(zhōng fù diàn xùn)
中概股	(zhōng gài gǔ)
中港	(zhōng gǎng)
中港臺	(zhōng gǎng tái)
中高度防空	(zhōng gāo dù fáng kōng)
中隔	(zhōng gé)
中共	(zhōng gòng)
中共中央	(zhōng gòng zhōng yāng)
中共中央辦公廳	(zhōng gòng zhōng yāng bàn gōng tīng)
中共中央宣傳部	(zhōng gòng zhōng yāng xuān chuán bù)
中共中央組織部	(zhōng gòng zhōng yāng zǔ zhī bù)
中古	(zhōng gǔ)
中古漢語	(zhōng gǔ hàn yǔ)
中關村	(zhōng guān cūn)
中規中矩	(zhòng guī zhòng jǔ)
中國	(zhōng guó)
中國白眉朱雀	(zhōng guó bái méi zhū què)
中國保險監督管理委員會	(zhōng guó bǎo xiǎn jiān dū guǎn lǐ wěi yuán huì)
中國北方工業公司	(zhōng guó běi fāng gōng yè gōng sī)
中國鈸	(zhōng guó bó)
中國菜	(zhōng guó cài)
中國餐館症候群	(zhōng guó cān guǎn zhèng hòu qún)
中國殘疾人聯合會	(zhōng guó cán jí rén lián hé huì)
中國殘聯	(zhōng guó cán lián)
中國產	(zhōng guó chǎn)
中國長城工業公司	(zhōng guó cháng chéng gōng yè gōng sī)
中國城	(zhōng guó chéng)
中國船舶工業集團	(zhōng guó chuán bó gōng yè jí tuán)
中國船舶貿易公司	(zhōng guó chuán bó mào yì gōng sī)
中國船舶重工集團公司	(zhōng guó chuán bó zhòng gōng jí tuán gōng sī)
中國傳媒大學	(zhōng guó chuán méi dà xué)
中國大百科全書出版社	(zhōng guó dà bǎi kē quán shū chū bǎn shè)
中國大陸	(zhōng guó dà lù)
中國大蠑螈	(zhōng guó dà róng yuán)
中國地球物理學會	(zhōng guó dì qiú wù lǐ xué huì)
中國地震局	(zhōng guó dì zhèn jú)
中國地震台網	(zhōng guó dì zhèn tái wǎng)
中國地質大學	(zhōng guó dì zhì dà xué)
中國地質調查局	(zhōng guó dì zhì diào chá jú)
中國電視公司	(zhōng guó diàn shì gōng sī)
中國電信	(zhōng guó diàn xìn)
中國東方航空	(zhōng guó dōng fāng háng kōng)
中國法學會	(zhōng guó fǎ xué huì)
中國風	(zhōng guó fēng)
中國工程院	(zhōng guó gōng chéng yuàn)
中國工商銀行	(zhōng guó gōng shāng yín háng)
中國共產黨	(zhōng guó gòng chǎn dǎng)
中國共產黨中央委員會	(zhōng guó gòng chǎn dǎng zhōng yāng wěi yuán huì)
中國共產黨中央委員會宣傳部	(zhōng guó gòng chǎn dǎng zhōng yāng wěi yuán huì xuān chuán bù)
中國共產主義青年團	(zhōng guó gòng chǎn zhǔ yì qīng nián tuán)
中國光大銀行	(zhōng guó guāng dà yín háng)
中國廣播公司	(zhōng guó guǎng bō gōng sī)
中國國防科技信息中心	(zhōng guó guó fáng kē jì xìn xī zhōng xīn)
中國國際廣播電台	(zhōng guó guó jì guǎng bō diàn tái)
中國國際航空公司	(zhōng guó guó jì háng kōng gōng sī)
中國國際貿易促進委員會	(zhōng guó guó jì mào yì cù jìn wěi yuán huì)
中國國家博物館	(zhōng guó guó jiā bó wù guǎn)
中國國家航天局	(zhōng guó guó jiā háng tiān jú)
中國國家原子能機構	(zhōng guó guó jiā yuán zǐ néng jī gòu)
中國國民黨革命委員會	(zhōng guó guó mín dǎng gé mìng wěi yuán huì)
中國海	(zhōng guó hǎi)
中國海事局	(zhōng guó hǎi shì jú)
中國海洋石油總公司	(zhōng guó hǎi yáng shí yóu zǒng gōng sī)
中國航空工業公司	(zhōng guó háng kōng gōng yè gōng sī)
中國航空運輸協會	(zhōng guó háng kōng yùn shū xié huì)
中國航天工業公司	(zhōng guó háng tiān gōng yè gōng sī)
中國好聲音	(zhōng guó hǎo shēng yīn)
中國核能總公司	(zhōng guó hé néng zǒng gōng sī)
中國紅	(zhōng guó hóng)
中國化	(zhōng guó huà)
中國畫	(zhōng guó huà)
中國話	(zhōng guó huà)
中國籍	(zhōng guó jí)
中國建設銀行	(zhōng guó jiàn shè yín háng)
中國交通建設	(zhōng guó jiāo tōng jiàn shè)
中國交通運輸協會	(zhōng guó jiāo tōng yùn shū xié huì)
中國教育和科研計算機網	(zhōng guó jiào yù hé kē yán jì suàn jī wǎng)
中國教育網	(zhōng guó jiào yù wǎng)
中國結	(zhōng guó jié)
中國進出口銀行	(zhōng guó jìn chū kǒu yín háng)
中國經營報	(zhōng guó jīng yíng bào)
中國精密機械進出口公司	(zhōng guó jīng mì jī xiè jìn chū kǒu gōng sī)
中國科學院	(zhōng guó kē xué yuàn)
中國聯合航空	(zhōng guó lián hé háng kōng)
中國聯通	(zhōng guó lián tōng)
中國林蛙	(zhōng guó lín wā)
中國美術館	(zhōng guó měi shù guǎn)
中國夢	(zhōng guó mèng)
中國民用航空局	(zhōng guó mín yòng háng kōng jú)
中國民主促進會	(zhōng guó mín zhǔ cù jìn huì)
中國民主建國會	(zhōng guó mín zhǔ jiàn guó huì)
中國民主同盟	(zhōng guó mín zhǔ tóng méng)
中國鳥類學會	(zhōng guó niǎo lèi xué huì)
中國農業銀行	(zhōng guó nóng yè yín háng)
中國氣象局	(zhōng guó qì xiàng jú)
中國青年報	(zhōng guó qīng nián bào)
中國人	(zhōng guó rén)
中國人大	(zhōng guó rén dà)
中國人民大學	(zhōng guó rén mín dà xué)
中國人民對外友好協會	(zhōng guó rén mín duì wài yǒu hǎo xié huì)
中國人民解放軍	(zhōng guó rén mín jiě fàng jūn)
中國人民解放軍海軍	(zhōng guó rén mín jiě fàng jūn hǎi jūn)
中國人民解放軍空軍	(zhōng guó rén mín jiě fàng jūn kōng jūn)
中國人民武裝警察部隊	(zhōng guó rén mín wǔ zhuāng jǐng chá bù duì)
中國人民銀行	(zhōng guó rén mín yín háng)
中國人民政治協商會議	(zhōng guó rén mín zhèng zhì xié shāng huì yì)
中國人權民運信息中心	(zhōng guó rén quán mín yùn xìn xī zhōng xīn)
中國人權組織	(zhōng guó rén quán zǔ zhī)
中國日報	(zhōng guó rì bào)
中國商飛	(zhōng guó shāng fēi)
中國商用飛機	(zhōng guó shāng yòng fēi jī)
中國社會科學院	(zhōng guó shè huì kē xué yuàn)
中國剩餘定理	(zhōng guó shèng yú dìng lǐ)
中國石化	(zhōng guó shí huà)
中國石油和化學工業協會	(zhōng guó shí yóu hé huà xué gōng yè xié huì)
中國石油化工股份有限公司	(zhōng guó shí yóu huà gōng gǔ fèn yǒu xiàn gōng sī)
中國石油天然氣集團公司	(zhōng guó shí yóu tiān rán qì jí tuán gōng sī)
中國時報	(zhōng guó shí bào)
中國式	(zhōng guó shì)
中國天主教愛國會	(zhōng guó tiān zhǔ jiào ài guó huì)
中國通	(zhōng guó tōng)
中國文聯	(zhōng guó wén lián)
中國文學藝術界聯合會	(zhōng guó wén xué yì shù jiè lián hé huì)
中國消費者協會	(zhōng guó xiāo fèi zhě xié huì)
中國小說史略	(zhōng guó xiǎo shuō shǐ lüè)
中國新聞社	(zhōng guó xīn wén shè)
中國新聞網	(zhōng guó xīn wén wǎng)
中國伊斯蘭教協會	(zhōng guó yī sī lán jiào xié huì)
中國移動通信	(zhōng guó yí dòng tōng xìn)
中國銀聯	(zhōng guó yín lián)
中國銀行	(zhōng guó yín háng)
中國銀行業監督管理委員會	(zhōng guó yín háng yè jiān dū guǎn lǐ wěi yuán huì)
中國郵政	(zhōng guó yóu zhèng)
中國遊藝機遊樂園協會	(zhōng guó yóu yì jī yóu lè yuán xié huì)
中國政法大學	(zhōng guó zhèng fǎ dà xué)
中國證監會	(zhōng guó zhèng jiān huì)
中國證券報	(zhōng guó zhèng quàn bào)
中國證券監督管理委員會	(zhōng guó zhèng quàn jiān dū guǎn lǐ wěi yuán huì)
中國致公黨	(zhōng guó zhì gōng dǎng)
中國製造	(zhōng guó zhì zào)
中國中心主義	(zhōng guó zhōng xīn zhǔ yì)
中國中央電視台	(zhōng guó zhōng yāng diàn shì tái)
中國作家協會	(zhōng guó zuò jiā xié huì)
中國作協	(zhōng guó zuò xié)
中海油	(zhōng hǎi yóu)
中韓	(zhōng hán)
中航技進出口有限責任公司	(zhōng háng jì jìn chū kǒu yǒu xiàn zé rèn gōng sī)
中號	(zhōng hào)
中和	(zhōng hé)
中和劑	(zhōng hé jì)
中和抗體	(zhōng hé kàng tǐ)
中和市	(zhōng hé shì)
中華	(zhōng huá)
中華電視	(zhōng huá diàn shì)
中華短翅鶯	(zhōng huá duǎn chì yīng)
中華航空公司	(zhōng huá háng kōng gōng sī)
中華龍鳥	(zhōng huá lóng niǎo)
中華民國	(zhōng huá mín guó)
中華民族	(zhōng huá mín zú)
中華攀雀	(zhōng huá pān què)
中華秋沙鴨	(zhōng huá qiū shā yā)
中華全國婦女聯合會	(zhōng huá quán guó fù nǚ lián hé huì)
中華全國體育總會	(zhōng huá quán guó tǐ yù zǒng huì)
中華全國總工會	(zhōng huá quán guó zǒng gōng huì)
中華人民共和國	(zhōng huá rén mín gòng hé guó)
中華蘇維埃共和國	(zhōng huá sū wéi āi gòng hé guó)
中華臺北	(zhōng huá tái běi)
中華田園犬	(zhōng huá tián yuán quǎn)
中華仙鶲	(zhōng huá xiān wēng)
中華鷓鴣	(zhōng huá zhè gū)
中環	(zhōng huán)
中級	(zhōng jí)
中脊	(zhōng jǐ)
中計	(zhòng jì)
中紀委	(zhōng jì wěi)
中繼	(zhōng jì)
中繼器	(zhōng jì qì)
中繼站	(zhōng jì zhàn)
中繼資料	(zhōng jì zī liào)
中堅	(zhōng jiān)
中間	(zhōng jiān)
中間層	(zhōng jiān céng)
中間件	(zhōng jiān jiàn)
中間路線	(zhōng jiān lù xiàn)
中間名	(zhōng jiān míng)
中間派	(zhōng jiān pài)
中間人	(zhōng jiān rén)
中間人攻擊	(zhōng jiān rén gōng jī)
中間商	(zhōng jiān shāng)
中間神經元	(zhōng jiān shén jīng yuán)
中間纖維	(zhōng jiān xiān wéi)
中間音	(zhōng jiān yīn)
中箭落馬	(zhòng jiàn luò mǎ)
中江縣	(zhōng jiāng xiàn)
中將	(zhōng jiàng)
中獎	(zhòng jiǎng)
中焦	(zhōng jiāo)
中階	(zhōng jiē)
中介	(zhōng jiè)
中介所	(zhōng jiè suǒ)
中介資料	(zhōng jiè zī liào)
中筋麵粉	(zhōng jīn miàn fěn)
中徑	(zhōng jìng)
中局	(zhōng jú)
中舉	(zhòng jǔ)
中看	(zhōng kàn)
中看不中用	(zhōng kàn bù zhōng yòng)
中考	(zhōng kǎo)
中科院	(zhōng kē yuàn)
中肯	(zhòng kěn)
中空	(zhōng kōng)
中空玻璃	(zhōng kōng bō li)
中控面板	(zhōng kòng miàn bǎn)
中括號	(zhōng kuò hào)
中辣	(zhōng là)
中郎將	(zhōng láng jiàng)
中老年	(zhōng lǎo nián)
中老年人	(zhōng lǎo nián rén)
中立	(zhōng lì)
中立國	(zhōng lì guó)
中立派	(zhōng lì pài)
中立性	(zhōng lì xìng)
中聯辦	(zhōng lián bàn)
中聯航	(zhōng lián háng)
中量級	(zhōng liàng jí)
中寮鄉	(zhōng liáo xiāng)
中流	(zhōng liú)
中流砥柱	(zhōng liú dǐ zhù)
中路	(zhōng lù)
中旅社	(zhōng lǚ shè)
中美	(zhōng měi)
中美洲	(zhōng měi zhōu)
中密度纖維板	(zhōng mì dù xiān wéi bǎn)
中魔	(zhòng mó)
中牟縣	(zhōng mù xiàn)
中南	(zhōng nán)
中南半島	(zhōng nán bàn dǎo)
中南部	(zhōng nán bù)
中南海	(zhōng nán hǎi)
中尼	(zhōng ní)
中年	(zhōng nián)
中寧縣	(zhōng níng xiàn)
中農	(zhōng nóng)
中女	(zhōng nǚ)
中歐	(zhōng ōu)
中盤	(zhōng pán)
中盤股	(zhōng pán gǔ)
中盤商	(zhōng pán shāng)
中胚層	(zhōng pēi céng)
中篇小說	(zhōng piān xiǎo shuō)
中埔	(zhōng pǔ)
中埔鄉	(zhōng pǔ xiāng)
中期	(zhōng qī)
中期選舉	(zhōng qī xuǎn jǔ)
中企業	(zhōng qǐ yè)
中氣層	(zhōng qì céng)
中氣層頂	(zhōng qì céng dǐng)
中簽	(zhòng qiān)
中前衛	(zhōng qián wèi)
中槍	(zhòng qiāng)
中青	(zhōng qīng)
中青年	(zhōng qīng nián)
中情局	(zhōng qíng jú)
中區	(zhōng qū)
中圈套	(zhòng quān tào)
中人	(zhōng rén)
中日	(zhōng rì)
中日關係	(zhōng rì guān xì)
中日韓	(zhōng rì hán)
中日韓統一表意文字	(zhōng rì hán tǒng yī biǎo yì wén zì)
中日韓越	(zhōng rì hán yuè)
中阮	(zhōng ruǎn)
中沙群島	(zhōng shā qún dǎo)
中山	(zhōng shān)
中山成彬	(zhōng shān chéng bīn)
中山大學	(zhōng shān dà xué)
中山服	(zhōng shān fú)
中山公園	(zhōng shān gōng yuán)
中山狼傳	(zhōng shān láng zhuàn)
中山陵	(zhōng shān líng)
中山區	(zhōng shān qū)
中山市	(zhōng shān shì)
中山裝	(zhōng shān zhuāng)
中傷	(zhòng shāng)
中生代	(zhōng shēng dài)
中聲	(zhōng shēng)
中師	(zhōng shī)
中石化	(zhōng shí huà)
中石器時代	(zhōng shí qì shí dài)
中時	(zhōng shí)
中世紀	(zhōng shì jì)
中式	(zhōng shì)
中式英語	(zhōng shì yīng yǔ)
中視	(zhōng shì)
中試	(zhōng shì)
中樞	(zhōng shū)
中樞神經	(zhōng shū shén jīng)
中樞神經系統	(zhōng shū shén jīng xì tǒng)
中暑	(zhòng shǔ)
中水	(zhōng shuǐ)
中臺	(zhōng tái)
中提琴	(zhōng tí qín)
中體西用	(zhōng tǐ xī yòng)
中天	(zhōng tiān)
中聽	(zhōng tīng)
中廳	(zhōng tīng)
中庭	(zhōng tíng)
中途	(zhōng tú)
中途島	(zhōng tú dǎo)
中途擱淺	(zhōng tú gē qiǎn)
中途退場	(zhōng tú tuì chǎng)
中土	(zhōng tǔ)
中外	(zhōng wài)
中微子	(zhōng wēi zǐ)
中位數	(zhōng wèi shù)
中尉	(zhōng wèi)
中衛	(zhōng wèi)
中衛市	(zhōng wèi shì)
中文	(zhōng wén)
中午	(zhōng wǔ)
中西	(zhōng xī)
中西部	(zhōng xī bù)
中西合璧	(zhōng xī hé bì)
中西合併	(zhōng xī hé bìng)
中西區	(zhōng xī qū)
中西醫	(zhōng xī yī)
中西醫結合	(zhōng xī yī jié hé)
中線	(zhōng xiàn)
中向性格	(zhōng xiàng xìng gé)
中小企業	(zhōng xiǎo qǐ yè)
中小型企業	(zhōng xiǎo xíng qǐ yè)
中小學	(zhōng xiǎo xué)
中校	(zhōng xiào)
中邪	(zhòng xié)
中心	(zhōng xīn)
中心點	(zhōng xīn diǎn)
中心對稱	(zhōng xīn duì chèn)
中心矩	(zhōng xīn jǔ)
中心粒	(zhōng xīn lì)
中心區	(zhōng xīn qū)
中心語	(zhōng xīn yǔ)
中新社	(zhōng xīn shè)
中新世	(zhōng xīn shì)
中新網	(zhōng xīn wǎng)
中信銀行	(zhōng xìn yín háng)
中行	(zhōng háng)
中型	(zhōng xíng)
中性	(zhōng xìng)
中性筆	(zhōng xìng bǐ)
中性粒細胞	(zhōng xìng lì xì bāo)
中興	(zhōng xīng)
中興新村	(zhōng xīng xīn cūn)
中宣部	(zhōng xuān bù)
中選	(zhòng xuǎn)
中學	(zhōng xué)
中學生	(zhōng xué shēng)
中旬	(zhōng xún)
中壓管	(zhōng yā guǎn)
中亞	(zhōng yà)
中亞草原	(zhōng yà cǎo yuán)
中亞鴿	(zhōng yà gē)
中亞細亞	(zhōng yà xì yà)
中亞夜鷹	(zhōng yà yè yīng)
中研院	(zhōng yán yuàn)
中央	(zhōng yāng)
中央凹	(zhōng yāng āo)
中央邦	(zhōng yāng bāng)
中央財經大學	(zhōng yāng cái jīng dà xué)
中央廚房	(zhōng yāng chú fáng)
中央處理單元	(zhōng yāng chǔ lǐ dān yuán)
中央處理機	(zhōng yāng chǔ lǐ jī)
中央處理器	(zhōng yāng chǔ lǐ qì)
中央電視台	(zhōng yāng diàn shì tái)
中央分車帶	(zhōng yāng fēn chē dài)
中央廣播電臺	(zhōng yāng guǎng bō diàn tái)
中央海嶺	(zhōng yāng hǎi lǐng)
中央匯金	(zhōng yāng huì jīn)
中央集權	(zhōng yāng jí quán)
中央軍事委員會	(zhōng yāng jūn shì wěi yuán huì)
中央軍委	(zhōng yāng jūn wěi)
中央空調	(zhōng yāng kōng tiáo)
中央民族大學	(zhōng yāng mín zú dà xué)
中央企業	(zhōng yāng qǐ yè)
中央情報局	(zhōng yāng qíng bào jú)
中央全會	(zhōng yāng quán huì)
中央人民政府駐香港特別行政區聯絡辦公室	(zhōng yāng rén mín zhèng fǔ zhù xiāng gǎng tè bié xíng zhèng qū lián luò bàn gōng shì)
中央日報	(zhōng yāng rì bào)
中央社	(zhōng yāng shè)
中央省	(zhōng yāng shěng)
中央委員會	(zhōng yāng wěi yuán huì)
中央戲劇學院	(zhōng yāng xì jù xué yuàn)
中央宣傳部	(zhōng yāng xuān chuán bù)
中央研究院	(zhōng yāng yán jiū yuàn)
中央音樂學院	(zhōng yāng yīn yuè xué yuàn)
中央銀行	(zhōng yāng yín háng)
中央政府	(zhōng yāng zhèng fǔ)
中央直轄市	(zhōng yāng zhí xiá shì)
中央執行委員會	(zhōng yāng zhí xíng wěi yuán huì)
中央專制集權	(zhōng yāng zhuān zhì jí quán)
中洋脊	(zhōng yáng jǐ)
中陽縣	(zhōng yáng xiàn)
中藥	(zhōng yào)
中野	(zhōng yě)
中葉	(zhōng yè)
中醫	(zhōng yī)
中醫學	(zhōng yī xué)
中意	(zhòng yì)
中譯語通	(zhōng yì yǔ tōng)
中銀	(zhōng yín)
中印	(zhōng yìn)
中印半島	(zhōng yìn bàn dǎo)
中英	(zhōng yīng)
中庸	(zhōng yōng)
中庸之道	(zhōng yōng zhī dào)
中用	(zhōng yòng)
中油	(zhōng yóu)
中游	(zhōng yóu)
中原	(zhōng yuán)
中原大學	(zhōng yuán dà xué)
中原區	(zhōng yuán qū)
中源地震	(zhōng yuán dì zhèn)
中遠	(zhōng yuǎn)
中越戰爭	(zhōng yuè zhàn zhēng)
中樂透	(zhòng lè tòu)
中嶽	(zhōng yuè)
中灶	(zhōng zào)
中賊鷗	(zhōng zéi ōu)
中站區	(zhōng zhàn qū)
中招	(zhòng zhāo)
中爪哇	(zhōng zhǎo wā)
中正	(zhōng zhèng)
中正紀念堂	(zhōng zhèng jì niàn táng)
中正區	(zhōng zhèng qū)
中值定理	(zhōng zhí dìng lǐ)
中止	(zhōng zhǐ)
中指	(zhōng zhǐ)
中中	(zhōng zhōng)
中軸	(zhōng zhóu)
中軸線	(zhōng zhóu xiàn)
中專	(zhōng zhuān)
中轉	(zhōng zhuǎn)
中轉櫃檯	(zhōng zhuǎn guì tái)
中轉站	(zhōng zhuǎn zhàn)
中裝	(zhōng zhuāng)
中綴	(zhōng zhuì)
中資	(zhōng zī)
中子	(zhōng zǐ)
中子彈	(zhōng zǐ dàn)
中子俘獲	(zhōng zǐ fú huò)
中子射線攝影	(zhōng zǐ shè xiàn shè yǐng)
中子數	(zhōng zǐ shù)
中子星	(zhōng zǐ xīng)
中子源	(zhōng zǐ yuán)
中組部	(zhōng zǔ bù)
伀	(zhōng)
彸	(zhōng)
忠	(zhōng)
忠臣	(zhōng chén)
忠誠	(zhōng chéng)
忠告	(zhōng gào)
忠厚	(zhōng hòu)
忠君愛國	(zhōng jūn ài guó)
忠烈	(zhōng liè)
忠南大學校	(zhōng nán dà xué xiào)
忠清	(zhōng qīng)
忠清北道	(zhōng qīng běi dào)
忠清道	(zhōng qīng dào)
忠清南道	(zhōng qīng nán dào)
忠實	(zhōng shí)
忠恕	(zhōng shù)
忠縣	(zhōng xiàn)
忠心	(zhōng xīn)
忠心耿耿	(zhōng xīn gěng gěng)
忠信	(zhōng xìn)
忠言	(zhōng yán)
忠言逆耳	(zhōng yán nì ěr)
忠義	(zhōng yì)
忠勇	(zhōng yǒng)
忠於	(zhōng yú)
忠貞	(zhōng zhēn)
忠貞不渝	(zhōng zhēn bù yú)
柊	(zhōng)
柊葉	(zhōng yè)
冢	(zhǒng)
尰	(zhǒng)
塚	(zhǒng)
塚中枯骨	(zhǒng zhōng kū gǔ)
仲	(zhòng)
仲巴縣	(zhòng bā xiàn)
仲裁	(zhòng cái)
仲父	(zhòng fù)
仲介	(zhòng jiè)
仲尼	(zhòng ní)
仲秋	(zhòng qiū)
仲夏	(zhòng xià)
仲夏夜之夢	(zhòng xià yè zhī mèng)
州	(zhōu)
州伯	(zhōu bó)
州長	(zhōu zhǎng)
州界	(zhōu jiè)
州立	(zhōu lì)
州立大學	(zhōu lì dà xué)
侜	(zhōu)
周	(zhōu)
周扒皮	(zhōu bā pí)
周報	(zhōu bào)
周備	(zhōu bèi)
周髀算經	(zhōu bì suàn jīng)
周邊	(zhōu biān)
周邊商品	(zhōu biān shāng pǐn)
周波	(zhōu bō)
周勃	(zhōu bó)
周長	(zhōu cháng)
周朝	(zhōu cháo)
周處	(zhōu chǔ)
周傳瑛	(zhōu chuán yīng)
周村區	(zhōu cūn qū)
周代	(zhōu dài)
周到	(zhōu dào)
周敦頤	(zhōu dūn yí)
周公	(zhōu gōng)
周狗	(zhōu gǒu)
周華健	(zhōu huá jiàn)
周會	(zhōu huì)
周濟	(zhōu jì)
周杰倫	(zhōu jié lún)
周徑	(zhōu jìng)
周口店	(zhōu kǒu diàn)
周口市	(zhōu kǒu shì)
周禮	(zhōu lǐ)
周立波	(zhōu lì bō)
周梁淑怡	(zhōu liáng shū yí)
周密	(zhōu mì)
周年慶	(zhōu nián qìng)
周寧縣	(zhōu níng xiàn)
周期函數	(zhōu qī hán shù)
周全	(zhōu quán)
周日圈	(zhōu rì quān)
周日運動	(zhōu rì yùn dòng)
周潤發	(zhōu rùn fā)
周三徑一	(zhōu sān jìng yī)
周身	(zhōu shēn)
周瘦鵑	(zhōu shòu juān)
周樹人	(zhōu shù rén)
周速	(zhōu sù)
周圍	(zhōu wéi)
周圍神經	(zhōu wéi shén jīng)
周圍性眩暈	(zhōu wéi xìng xuàn yùn)
周詳	(zhōu xiáng)
周星馳	(zhōu xīng chí)
周宣王	(zhōu xuān wáng)
周旋	(zhōu xuán)
周璇	(zhōu xuán)
周延	(zhōu yán)
周易	(zhōu yì)
周永康	(zhōu yǒng kāng)
周幽王	(zhōu yōu wáng)
周遊	(zhōu yóu)
周遊列國	(zhōu yóu liè guó)
周遊世界	(zhōu yóu shì jiè)
